"id","class_id","instructor","section_id","section_type","meeting_time","start_time","end_time","location","course_id","day"
1,81574,"Thomas W Hall","002                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","PKH 113",1,"TuTh"
2,81576,"Sharmila Mcdonald","004                 ","LEC                 ","08/27/2015 - 12/09/2015","14:00:00","14:50:00","COBA150",1,"MoWeFr"
3,86708,"William H Wilson","007                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","COBA256",1,"MoWe"
4,90653,"Paige Etheridge Gee","008                 ","LEC                 ","08/27/2015 - 12/09/2015","12:30:00","13:50:00","COBA141",1,"TuTh"
5,81579,"Sharmila Mcdonald","001                 ","LEC                 ","08/27/2015 - 12/09/2015","10:00:00","10:50:00","COBA243",2,"MoWeFr"
6,81580,"Sharmila Mcdonald","002                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","11:50:00","COBA150",2,"MoWeFr"
7,81581,"Sandra H Bitenc","003                 ","LEC                 ","08/27/2015 - 12/09/2015","14:30:00","15:50:00","COBA241",2,"TuTh"
8,81582,"Sandra H Bitenc","004                 ","LEC                 ","08/27/2015 - 12/09/2015","12:30:00","13:50:00","COBA256",2,"TuTh"
9,83361,"Sandra H Bitenc","005                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","20:20:00","COBA150",2,"TuTh"
10,85118,"Donald K Mcconnell","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","19:50:00","COBA138",3,"Th"
11,86337,"Jeffrey J Tsay","004                 ","LEC                 ","08/27/2015 - 12/09/2015","16:00:00","17:20:00","COBA348",4,"MoWe"
12,81587,"Annette Thompson","002                 ","LEC                 ","08/27/2015 - 12/09/2015","16:00:00","17:20:00","COBA147",5,"MoWe"
13,86136,"Annette Thompson","004                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","COBA147",5,"MoWe"
14,87647,"Jennifer Yardley","007                 ","LEC                 ","08/27/2015 - 12/09/2015","09:00:00","11:50:00","COBA256",5,"Sa"
15,81589,"Richard S Mark","001                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","12:20:00","COBA154",6,"TuTh"
16,81590,"Richard S Mark","002                 ","LEC                 ","08/27/2015 - 12/09/2015","14:00:00","15:20:00","COBA138",6,"TuTh"
17,81592,"Thomas W Hall","001                 ","LEC                 ","08/27/2015 - 12/09/2015","13:00:00","14:20:00","COBA254",7,"TuTh"
18,81593,"Terrance R Skantz","002                 ","LEC                 ","08/27/2015 - 12/09/2015","16:00:00","17:20:00","COBA150",7,"MoWe"
19,89542,"Stanley Fredrick Seat","006                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","PKH 103",8,"TuTh"
20,81596,"Stephanie J Rasmussen","001                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","PKH 103",9,"TuTh"
21,81597,"Stephanie J Rasmussen","002                 ","LEC                 ","08/27/2015 - 12/09/2015","12:30:00","13:50:00","COBA149",9,"TuTh"
22,90092,"Michael Wesley Prachyl","003                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","20:20:00","LS  424",9,"TuTh"
23,84316,"Galen D Carpenter","001                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","12:20:00","COBA251",10,"TuTh"
24,81598,"Donald K Mcconnell","001                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","COBA151",11,"TuTh"
25,83362,"Billy Brewster","002                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","GACB105",11,"TuTh"
26,83578,"Sandra H Bitenc","001                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","COBA150",12,"TuTh"
27,90286,"Staff","018                 ","IND                 ","TBA",,,"TBA",13,"TBA"
28,81599,"Terra C Mcghee","001                 ","PRA                 ","08/27/2015 - 12/09/2015",,,"TBA",14,"TBA"
29,84658,"Donald K Mcconnell","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","19:50:00","COBA138",15,"Th"
30,90844,"Terra C Mcghee","001                 ","PRA                 ","08/27/2015 - 12/09/2015",,,"TBA",16,"TBA"
31,81600,"Gene B Elrod","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA150",17,"Mo"
32,89543,"Gene B Elrod","002                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA138",17,"We"
33,85696,"Martin E Taylor Staff","020                 ","LEC                 ","11/09/2015 - 12/14/2015 11/09/2015 - 12/14/2015","18:00:00","22:00:00","UTASF114 UTASF114",17,"Mo"
34,81601,"Melanie W Mcgee","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA154",18,"Mo"
35,85697,"Martin E Taylor Staff","020                 ","LEC                 ","08/29/2015 - 10/03/2015 08/29/2015 - 10/03/2015","18:00:00","22:00:00","UTASF113 UTASF113",18,"Mo"
36,87523,"Ramgopal Venkataraman","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","ERB 129",19,"Th"
37,89628,"Ramgopal Venkataraman","002                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","13:50:00","SH  324",19,"Th"
38,90456,"Ramgopal Venkataraman","003                 ","LEC                 ","08/27/2015 - 12/09/2015",,,"OFF  WEB",19,"TBA"
39,90459,"Ramgopal Venkataraman","004                 ","LEC                 ","08/27/2015 - 12/09/2015",,,"OFF  WEB",19,"TBA"
40,81602,"Gene B Elrod","001                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","COBA138",20,"MoWe"
41,81603,"Bethane J Hall","001                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","COBA152",21,"TuTh"
42,81604,"Jeffrey J Tsay","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","20:20:00","COBA243",22,"MoWe"
43,85938,"Billy Brewster","001                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","TH  204",23,"TuTh"
44,85937,"Sandra C Henderson","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","PKH 205",24,"Tu"
45,81605,"Donald K Mcconnell","001                 ","SEM                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","PKH 109",25,"Tu"
46,81606,"Terrance R Skantz","001                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","COBA150",26,"MoWe"
47,84657,"Martin E Taylor","001                 ","SEM                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA349",27,"We"
48,81607,"Gene B Elrod","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA152",28,"Th"
49,81608,"Sandra C Henderson","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA339",29,"Th"
50,81609,"John S Repsis","001                 ","SEM                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA140",30,"Mo"
51,81610,"John S Repsis","001                 ","LEC                 ","08/27/2015 - 12/09/2015","17:30:00","18:50:00","PKH 105",31,"MoWe"
52,81611,"Bethane J Hall","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA152",32,"Tu"
53,83560,"Stephen Douglas Willey","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA154",33,"We"
54,85102,"Jeff Matthews","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA141",34,"Mo"
55,81612,"Richard S Mark","001                 ","LEC                 ","08/27/2015 - 12/09/2015","19:00:00","21:50:00","COBA153",35,"Tu"
56,81613,"Terra C Mcghee","001                 ","PRA                 ","08/27/2015 - 12/09/2015",,,"TBA",36,"TBA"
57,88843,"Bin Srinidhi","018                 ","SEM                 ","08/27/2015 - 12/09/2015","14:00:00","16:50:00","COBA243",37,"We"
58,89629,"Ramgopal Venkataraman","004                 ","SEM                 ","08/27/2015 - 12/09/2015","14:00:00","16:50:00","COBA239",38,"Mo"
59,90546,"Raghu Venugopalan","017                 ","SEM                 ","08/27/2015 - 12/09/2015","14:00:00","16:50:00","UH  321",38,"Tu"
60,81527,"Gina Mceuen","001                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","FA  411",1,"TuTh"
61,81528,"Gina Mceuen","002                 ","LEC                 ","08/27/2015 - 12/09/2015","12:30:00","13:50:00","FA  411",1,"TuTh"
62,81529,"Tom L Ingram","002                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","12:20:00","FA  409",2,"TuTh"
63,81531,"George Hines Weems","001                 ","LEC                 ","08/27/2015 - 12/09/2015","09:30:00","10:50:00","FA  409",3,"TuTh"
64,81532,"George Hines Weems","001                 ","LEC                 ","08/27/2015 - 12/09/2015","14:00:00","15:20:00","FA  404",4,"MoWe"
65,81533,"Tom L Ingram","002                 ","LEC                 ","08/27/2015 - 12/09/2015","14:00:00","15:20:00","FA  409",4,"MoWe"
66,90832,"George Hines Weems","017                 ","PRA                 ","08/27/2015 - 12/09/2015",,,"TBA",5,"TBA"
